doctorId,username,password,name,departmentName,availability
D001,doc_kim_mj,doc_pw01,김민재,내과,"월 09:00-12:30,14:00-17:30;수 09:00-12:30;금 09:00-12:30"
D002,doc_lee_sy,doc_pw02,이수영,외과,"화 10:00-13:00,14:30-18:00;목 10:00-13:00"
D003,doc_park_jh,doc_pw03,박지현,소아청소년과,"월 09:00-17:00;화 09:00-17:00;수 09:00-12:00;2025-05-20 휴진"
D004,doc_choi_jw,doc_pw04,최정우,정형외과,"수 14:00-18:00;금 09:00-13:00,14:00-17:00"
D005,doc_jung_yr,doc_pw05,정유리,산부인과,"매일 10:00-12:00,13:00-16:00;토 휴진;일 휴진"
D006,doc_kang_sh,doc_pw06,강승호,이비인후과,"월 09:30-12:30,14:00-17:00;화 09:30-12:30;목 14:00-17:00"
D007,doc_cho_hj,doc_pw07,조현지,피부과,"수 10:00-13:00;금 10:00-13:00,14:00-16:00"
D008,doc_yoon_dw,doc_pw08,윤대원,안과,"화 09:00-12:00,13:30-17:30;목 09:00-12:00"
D009,doc_jang_sm,doc_pw09,장서미,정신건강의학과,"월 10:00-17:00;수 10:00-17:00"
D010,doc_lim_ch,doc_pw10,임철현,가정의학과,"매일 09:00-12:00;2025-05-22 휴진;2025-05-29 휴진"
D011,doc_song_ej,doc_pw11,송은주,신경외과,"월 09:00-13:00;수 09:00-13:00;금 14:00-18:00"
D012,doc_hwang_mh,doc_pw12,황민혁,비뇨의학과,"화 10:00-12:00,14:00-17:00;목 10:00-12:00,14:00-17:00"
D013,doc_ahn_jy,doc_pw13,안지영,마취통증의학과,"월 08:30-12:30;2025-06-06 휴진"
D014,doc_yoo_sh,doc_pw14,유선호,영상의학과,"매일 09:00-17:00;토 휴진;일 휴진"
D015,doc_kwon_hr,doc_pw15,권혜린,재활의학과,"수 09:00-12:00,13:00-16:00;금 09:00-12:00"
D016,doc_shin_wj,doc_pw16,신우진,성형외과,"화 13:00-18:00;목 13:00-18:00"
D017,doc_seo_yj,doc_pw17,서예지,치과,"월 10:00-12:30,14:00-18:00;수 10:00-12:30;2025-05-27 휴진"
D018,doc_oh_th,doc_pw18,오태현,흉부외과,"금 08:00-12:00"
D019,doc_han_jy,doc_pw19,한지윤,응급의학과,"매일 09:00-17:00 (팀 스케줄에 따름)"
D020,doc_jung_hs,doc_pw20,정해솔,일반의,"월 09:00-12:00;화 09:00-12:00;수 09:00-12:00;목 09:00-12:00;금 09:00-12:00"

